Time,hour,day_of_week,fs-00070_rolling_mean,fs-00070_rolling_std,fs-00070_rolling_max,fs-00071_rolling_mean,fs-00071_rolling_std,fs-00071_rolling_max,fs-00077_rolling_mean,fs-00077_rolling_std,fs-00077_rolling_max,fs-00083_rolling_mean,fs-00083_rolling_std,fs-00083_rolling_max,fs-00101_rolling_mean,fs-00101_rolling_std,fs-00101_rolling_max,fs-00073_rolling_mean,fs-00073_rolling_std,fs-00073_rolling_max,fs-00100_rolling_mean,fs-00100_rolling_std,fs-00100_rolling_max,fs-00096_rolling_mean,fs-00096_rolling_std,fs-00096_rolling_max,fs-00049_rolling_mean,fs-00049_rolling_std,fs-00049_rolling_max,fs-00048_rolling_mean,fs-00048_rolling_std,fs-00048_rolling_max,fs-00047_rolling_mean,fs-00047_rolling_std,fs-00047_rolling_max,fs-00032_rolling_mean,fs-00032_rolling_std,fs-00032_rolling_max,fs-00031_rolling_mean,fs-00031_rolling_std,fs-00031_rolling_max,lag_1,lag_3,lag_6
2023-09-29 00:30:00,0,4,0.0,0.0,0.0,0.0015090811111428,0.00033547133142657797,0.0020498291137502,0.0005310291058296,0.0008816024731757743,0.0023791104238267,0.0,0.0,0.0,0.0015720028898100287,0.0007742771866653495,0.0028425048924715,0.003131004531532386,0.0008005767172282127,0.0040805504720544,0.0,0.0,0.0,0.0015346862193397286,0.00025189081594714904,0.0019138696388566,0.006212704199060985,0.0012998501215315866,0.0080958340710266,0.0011198690437312,0.0005760962429563626,0.0021202067388236,0.0,0.0,0.0,0.3451022421061606,0.012759466211797639,0.361683678489557,0.0029605150774100575,0.0005274514076021933,0.0035629341153641,0.02908961362092596,0.02757177020176171,0.026868617675809486
2023-09-29 00:35:00,0,4,0.0,0.0,0.0,0.001758333244132725,0.0007703744108322776,0.0035030981750622,0.0008241755373525,0.001163473127068632,0.0028762005580128,0.0,0.0,0.0,0.00153228464146335,0.0007255907119463072,0.0028425048924715,0.003340899229861463,0.0009496362015199026,0.004810162118165,0.0,0.0,0.0,0.001521096772214325,0.000236351914087228,0.0019138696388566,0.00657384758924245,0.0015784909943130912,0.0091018513205127,0.0013699080501773874,0.0008857937161171191,0.0031201810953007,0.0,0.0,0.0,0.34756409655057097,0.013712479181731723,0.364797077661444,0.0028809063020486,0.000537737737816502,0.0035629341153641,0.02961191621376265,0.028727887505477372,0.026919888250063775
2023-09-29 00:40:00,0,4,0.0,0.0,0.0,0.002012626689081822,0.001049418194312328,0.0040469742486746,0.001021017152664711,0.0012382167000985684,0.0028762005580128,0.00016934070561233332,0.0005080221168369999,0.001524066350511,0.0014883216839540554,0.0006914234019770965,0.0028425048924715,0.0035345244119576666,0.0010613666666654835,0.0050835258687273,0.0,0.0,0.0,0.001525552125252189,0.0002214906327981781,0.0019138696388566,0.007005436473449345,0.001963822872989099,0.0104581475471045,0.0015884825619204665,0.0010566574888425447,0.0033370786558651,1.4833170502422221e-05,4.4499511507266666e-05,0.0001334985345218,0.34978238083258595,0.014450437399894198,0.367528655088706,0.0026737709465836667,0.0007994761658050016,0.0035629341153641,0.030247111026799146,0.02908961362092596,0.027034301915900696
2023-09-29 00:45:00,0,4,0.0,0.0,0.0,0.00224947392576622,0.0012409191749883158,0.0043810990559258,0.00114413643983458,0.0012306139872172842,0.0028762005580128,0.00029659540506982,0.0006255779583380605,0.001524066350511,0.00144388877014188,0.0006668513170197081,0.0028425048924715,0.00373658908760627,0.0011872800658047774,0.0055551711684437,0.0,0.0,0.0,0.00154095531353019,0.00021442896833740087,0.0019138696388566,0.00727170832738429,0.002033985284269312,0.0104581475471045,0.0018295921172535798,0.0012545138049096555,0.0039995781152516,1.8125792284725148e-05,4.3227273326505185e-05,0.0001334985345218,0.3518301660009241,0.015084684274661513,0.370260232515967,0.00254203187290864,0.0008612177189867071,0.0035629341153641,0.030647861341967057,0.02961191621376265,0.02757177020176171
2023-09-29 00:50:00,0,4,0.0,0.0,0.0,0.0024146937181071457,0.0012985244458851276,0.0043810990559258,0.0012594065891128909,0.0012284661116377712,0.0028762005580128,0.00041895880946510913,0.000718967199425558,0.001642592853418,0.0014009151692287727,0.0006484871974369705,0.0028425048924715,0.003932568677592736,0.001300445522040641,0.0058923645774574,0.0,0.0,0.0,0.0015634064619378183,0.00021662501916688357,0.0019138696388566,0.007443759030786146,0.002012213311980991,0.0104581475471045,0.0020758315702600724,0.001443397709719783,0.004538226100325,1.647799298611377e-05,4.1371549537496096e-05,0.0001334985345218,0.35389702019213637,0.015867692914366825,0.374565562104259,0.0024893512856333636,0.0008354962899853885,0.0035629341153641,0.03089892690345853,0.030247111026799146,0.028727887505477372
2023-09-29 00:55:00,0,4,0.0,0.0,0.0,0.0025126420912993668,0.001283746294273314,0.0043810990559258,0.0013487984508207167,0.0012115388158885252,0.0028762005580128,0.0003840455753430167,0.0006960954490144133,0.001642592853418,0.0013693432355800417,0.000627906502568567,0.0028425048924715,0.004107301697827625,0.0013797812903608754,0.0060293649204114,0.0,0.0,0.0,0.001591859238907125,0.00022885604398826037,0.0019138696388566,0.0076154531605665,0.0020086457564436853,0.0104581475471045,0.002346110653153575,0.0016645139283398378,0.0053191805649821,1.5104826903937624e-05,3.973199803125765e-05,0.0001334985345218,0.3557198590598578,0.01639411942025032,0.375771086604794,0.0024512948385549166,0.0008074491373495837,0.0035629341153641,0.0313079733802053,0.030647861341967057,0.02908961362092596
2023-09-29 01:00:00,1,4,0.0,0.0,0.0,0.002668482024520075,0.0012852708638873731,0.0043810990559258,0.001555359263024475,0.0011713072870897863,0.0028762005580128,0.0005218661705534083,0.0007726582470472314,0.0016538471425247,0.0013561560363265334,0.0006239154187178029,0.0028425048924715,0.004435537551182267,0.0013487824038814938,0.0061227277507344,0.0,0.0,0.0,0.001596387749161675,0.00023622608827598876,0.0019682117619112,0.0079631680965467,0.001944343300352739,0.0104581475471045,0.002719204413947108,0.0019177399615218416,0.0058855869160254,1.5104826903937624e-05,3.973199803125765e-05,0.0001334985345218,0.3594135556331532,0.01558966344108084,0.37653622922612,0.0024953078124873586,0.0008488553511132296,0.0035629341153641,0.031346574575081845,0.03089892690345853,0.02961191621376265
2023-09-29 01:05:00,1,4,0.0,0.0,0.0,0.0028528869915262333,0.001210576209417773,0.0043810990559258,0.0016974346297344417,0.001063979013884336,0.0028762005580128,0.0007360183566824083,0.0009505247664411428,0.002569826233548,0.0012660351327910167,0.00044099300130018363,0.002423364434912,0.004753524269997966,0.001274764666460089,0.0062225549425205,0.0,0.0,0.0,0.0016288416786767,0.00028409913789358024,0.0021591255696241,0.00842495565016155,0.0016599844947584074,0.0104581475471045,0.0031559204582191414,0.0020704023385542006,0.0061968353134484,1.5104826903937624e-05,3.973199803125765e-05,0.0001334985345218,0.36307445163228097,0.013994567839615873,0.377301371847446,0.002589202454501308,0.0009659090551520525,0.0041425448849109,0.031740910059494455,0.0313079733802053,0.030247111026799146
2023-09-29 01:10:00,1,4,0.0,0.0,0.0,0.0031480459585625253,0.0011536590471035808,0.0045624620906575,0.0018156103548498915,0.0009284257149408017,0.0028762005580128,0.0008182130245858083,0.0009233503715584942,0.002569826233548,0.0012129039743134084,0.00030690280099221023,0.0017857905331807,0.005072959842064376,0.0011309817980434816,0.0063335430426692,0.0,0.0,0.0,0.00167494200149985,0.0003323434342180056,0.00222416977888,0.00877594561056245,0.0013877710967862,0.0104581475471045,0.0036524703903227165,0.002095980289611666,0.006481860656534,1.5104826903937624e-05,3.973199803125765e-05,0.0001334985345218,0.36671577727565535,0.011318263719518822,0.378216031937145,0.0026313840145335585,0.001013292019655033,0.0041425448849109,0.03195457733037362,0.031346574575081845,0.030647861341967057
2023-09-29 01:15:00,1,4,0.0,0.0,0.0,0.0033650429520653996,0.0010835830198758795,0.0045624620906575,0.0018627966401272083,0.0008450961755861393,0.0028762005580128,0.0008723511910848917,0.0008894381242598615,0.002569826233548,0.001311375920583475,0.00045053718266875386,0.0023593504746392,0.005368200532871342,0.0009970177673222073,0.0065494716557582,0.0,0.0,0.0,0.0017558904618267584,0.0003921170965374071,0.002446293997232,0.009125331535580525,0.0011966894403237672,0.0104581475471045,0.004175458549056258,0.001998816497867423,0.0067032139370214,1.5104826903937624e-05,3.973199803125765e-05,0.0001334985345218,0.36969656120960265,0.008148301779921223,0.378216031937145,0.0026168956597887503,0.00099991623504466,0.0041425448849109,0.031962592247326685,0.031740910059494455,0.03089892690345853
