Time,fs-00070,fs-00071,fs-00077,fs-00083,fs-00101,fs-00073,fs-00100,fs-00096,fs-00049,fs-00048,fs-00047,fs-00032,fs-00031
2023/09/29 00:00:00.000000,0,0.00166704151630828,0,0,0.00161551783036805,0.00218389751047878,0,0.00191386963885668,0.00536796974073131,0.00140846178650308,0,0.332211870346576,0.00292340141570151
2023/09/29 00:05:00.000000,0,0.00119089707171317,0,0,0.00284250489247154,0.00240671431673213,0,0.00176967841544386,0.00440608073362915,0.000956242782184098,0,0.333370619857912,0.00301580918074359
2023/09/29 00:10:00.000000,0,0.00102055448622207,0,0,0.00242336443491209,0.00250031617787238,0,0.00167096590500223,0.00541114192190345,0.00052326147129117,0,0.334520124216653,0.00337619629285316
2023/09/29 00:15:00.000000,0,0.00162342361379735,0.000120592423055958,0,0.00117768711939847,0.00300658336607466,0,0.00147491247330914,0.00620648722778199,0.000427356032218953,0,0.340833036251902,0.00356293411536417
2023/09/29 00:20:00.000000,0,0.00155537076900296,0.00027602101610887,0,0.000928228141972444,0.00377373026865075,0,0.00132329023565342,0.00639672977633079,0.00107597247079665,0,0.354836350890497,0.00329684400219346
2023/09/29 00:25:00.000000,0,0.00145645120720594,0.000941479877815856,0,0.000848944876278982,0.00396523960886392,0,0.00129408006150959,0.00760468592202396,0.00132758202430125,0,0.358260014690027,0.00246649880401142
2023/09/29 00:30:00.000000,0,0.00204982911375023,0.00237911042382673,0,0.00116777293326903,0.00408055047205449,0,0.0012960068056035,0.00809583407102668,0.00212020673882369,0,0.361683678489557,0.00208192173100349
2023/09/29 00:35:00.000000,0,0.00350309817506227,0.00287620055801286,0,0.00125425690303669,0.00481016211816502,0,0.00142597064233653,0.00910185132051274,0.00312018109530077,0,0.364797077661444,0.00232364487451847
2023/09/29 00:40:00.000000,0,0.00404697424867463,0.00259575007516245,0.00152406635051107,0.0011366180238797,0.00508352586872731,0,0.00156119494955511,0.0104581475471045,0.00333707865586515,0.000133498534521819,0.367528655088706,0.00101668810286421
2023/09/29 00:45:00.000000,0,0.00438109905592583,0.00225221002436343,0.00144188770018728,0.00104399254583232,0.00555517116844374,0,0.00167958400803228,0.00966815501279888,0.00399957811525163,4.77593883254515e-05,0.370260232515967,0.00135638020983342
2023/09/29 00:50:00.000000,0,0.0040668916415164,0.00241210808189605,0.00164259285341808,0.00097117916009772,0.00589236457745741,0,0.00178791794601415,0.00916426606480473,0.00453822610032508,0,0.374565562104259,0.00196254541288061
2023/09/29 00:55:00.000000,0,0.00359007419641384,0.00233210892960689,0,0.00102205196544401,0.00602936492041143,0,0.00190483978556958,0.00950408858815046,0.0053191805649821,0,0.375771086604794,0.00203267392069208
2023/09/29 01:00:00.000000,0,0.00353712071495671,0.00247872974644517,0.00165384714252477,0.00145727143932596,0.00612272775073448,0,0.00196821176191121,0.00954054897249375,0.00588558691602544,0,0.37653622922612,0.00345155710289082
2023/09/29 01:05:00.000000,0,0.00340375667578701,0.00170490440051969,0.002569826233548,0.00176105405004533,0.00622255494252059,0,0.00215912556962418,0.00994753137700739,0.0061968353134484,0,0.377301371847446,0.00414254488491093
2023/09/29 01:10:00.000000,0,0.00456246209065755,0.0014181087013854,0.000986336014840894,0.00178579053318075,0.00633354304266929,0,0.00222416977888004,0.00962302144671423,0.00648186065653408,0,0.378216031937145,0.00388237501324015
2023/09/29 01:15:00.000000,0,0.00422738753583184,0.00068682784638372,0.000649657997989086,0.00235935047463921,0.00654947165575824,0,0.00244629399723203,0.0103991183279988,0.00670321393702147,0,0.37660244345927,0.00338907385842649
2023/09/29 01:20:00.000000,0,0.00437212280217478,0.00112027702406175,0.00291660930799806,0.00266858616443711,0.00744733121869876,0,0.00257416540864893,0.00910376003509498,0.0068811249994025,0.000107552761226648,0.375370234806471,0.00436182456288406
2023/09/29 01:25:00.000000,0,0.00461297096252447,0.000368764342671123,0.00652747833873192,0.0026550851962297,0.00787406597209269,0,0.00264102328478682,0.00986377591133992,0.00671516080992814,0.000730035232660325,0.368267225692903,0.00401067298116199
2023/09/29 01:30:00.000000,0,0.00492396441712708,0.000595062239272607,0.00916995132079334,0.00323306496260646,0.00835162195085934,0,0.00272004774721736,0.0114800064124494,0.00682438291051258,0.00168738526518639,0.365505593213409,0.00405822933223261
